1;1;2014-01-28 20:44:45;35708;2;1
2;1;2014-01-28 20:44:47;37214;2;1
3;1;2014-01-28 20:44:48;38513;2;1
4;1;2014-01-28 20:44:49;39805;2;1
5;1;2014-01-28 20:44:51;41033;2;1
6;1;2014-01-28 20:44:52;42287;2;1
7;1;2014-01-28 20:44:53;43527;2;1
8;1;2014-01-28 20:44:54;44752;2;1
9;1;2014-01-28 20:44:55;45983;2;1
10;1;2014-01-28 20:44:57;47285;2;1
11;1;2014-01-28 20:44:58;48494;2;1
12;1;2014-01-28 20:44:59;49739;2;1
13;1;2014-01-28 20:45:00;50992;2;1
14;1;2014-01-28 20:45:02;52262;2;1
15;1;2014-01-28 20:45:03;53462;2;1
16;1;2014-01-28 20:45:04;54687;2;1
17;1;2014-01-28 20:45:06;56034;2;1
18;1;2014-01-28 20:45:07;57229;2;1
19;1;2014-01-28 20:45:08;58598;2;1
20;1;2014-01-28 20:45:09;59840;2;1
21;1;2014-01-28 20:45:11;61075;2;1
22;1;2014-01-28 20:45:12;62391;2;1
23;1;2014-01-28 20:45:13;63638;2;1
24;1;2014-01-28 20:45:14;64930;2;1
25;1;2014-01-28 20:45:16;66137;2;1
26;1;2014-01-28 20:45:17;67412;2;1
27;1;2014-01-28 20:45:18;68714;2;1
28;1;2014-01-28 20:45:19;69942;2;1
29;1;2014-01-28 20:45:21;71189;2;1
30;1;2014-01-28 20:45:22;72456;2;1
31;1;2014-01-28 20:45:23;73693;2;1
32;1;2014-01-28 20:45:24;74925;2;1
33;1;2014-01-28 20:45:26;76151;2;1
34;1;2014-01-28 20:45:27;77424;2;1
35;1;2014-01-28 20:45:28;78657;2;1
36;1;2014-01-28 20:45:29;79882;2;1
37;1;2014-01-28 20:45:31;81097;2;1
38;1;2014-01-28 20:45:32;82382;2;1
39;1;2014-01-28 20:45:33;83575;2;1
40;1;2014-01-28 20:45:34;84850;2;1
41;1;2014-01-28 20:45:36;86147;2;1
42;1;2014-01-28 20:45:37;87359;2;1
43;1;2014-01-28 20:45:38;88614;2;1
44;1;2014-01-28 20:45:39;89886;2;1
45;1;2014-01-28 20:45:41;91109;2;1
46;1;2014-01-28 20:45:42;92708;2;1
47;1;2014-01-28 20:45:44;94058;2;1
48;1;2014-01-28 20:45:45;95358;2;1
49;1;2014-01-28 20:45:46;96725;2;1
50;1;2014-01-28 20:45:48;98109;2;1
51;1;2014-01-28 20:45:49;99399;2;1
52;1;2014-01-28 20:45:50;100696;2;1
53;1;2014-01-28 20:45:52;102179;2;1
54;1;2014-01-28 20:45:53;103462;2;1
55;1;2014-01-28 20:45:54;104729;2;1
56;1;2014-01-28 20:45:56;106020;2;1
57;1;2014-01-28 20:45:57;107380;2;1
58;1;2014-01-28 20:45:58;108675;2;1
59;1;2014-01-28 20:45:59;109976;2;1
60;1;2014-01-28 20:46:01;111279;2;1
61;1;2014-01-28 20:46:02;112625;2;1
62;1;2014-01-28 20:46:03;113902;2;1
63;1;2014-01-28 20:46:05;115135;2;1
64;1;2014-01-28 20:46:06;116419;2;1
65;1;2014-01-28 20:46:07;117732;2;1
66;1;2014-01-28 20:46:08;118992;2;1
67;1;2014-01-28 20:46:10;120283;2;1
68;1;2014-01-28 20:46:11;121523;2;1
69;1;2014-01-28 20:46:12;122885;2;1
70;1;2014-01-28 20:46:14;124189;2;1
71;1;2014-01-28 20:46:15;125568;2;1
72;1;2014-01-28 20:46:16;126889;2;1
73;1;2014-01-28 20:46:18;128230;2;1
74;1;2014-01-28 20:46:19;129504;2;1
75;1;2014-01-28 20:46:20;130728;2;1
76;1;2014-01-28 20:46:22;132062;2;1
