1;-368;-9;4521;-473;1;-5702
2;-374;-15;4518;-473;0;-5702
3;-378;-3;4525;-473;0;-5702
4;-367;-8;4516;-473;0;-5703
5;-373;-6;4524;-473;0;-5703
6;-370;-4;4528;-473;0;-5703
7;-376;1;4533;-473;0;-5703
8;-376;5;4525;-473;0;-5703
9;-377;-3;4516;-473;0;-5703
10;-379;0;4534;-473;0;-5703
11;-369;-1;4532;-473;0;-5703
12;-378;-4;4511;-474;0;-5703
13;-373;-2;4532;-474;0;-5703
14;-381;-2;4522;-474;0;-5704
15;-377;0;4530;-474;0;-5704
16;-379;-3;4518;-475;0;-5704
17;-380;-2;4517;-474;0;-5704
18;-379;4;4523;-474;-1;-5704
19;-377;-4;4527;-474;-1;-5704
20;-373;-6;4536;-474;-2;-5704
21;-379;1;4533;-475;-2;-5704
22;-385;-3;4532;-475;-2;-5704
23;-375;-2;4527;-475;-3;-5704
24;-379;-3;4508;-474;-3;-5704
25;-381;-4;4531;-475;-3;-5704
26;-377;0;4514;-473;-3;-5704
27;-380;-5;4527;-473;-3;-5704
28;-381;-4;4535;-474;-3;-5704
29;-376;-2;4523;-474;-3;-5704
30;-376;0;4523;-474;-3;-5704
31;-378;2;4522;-474;-3;-5704
32;-375;1;4523;-475;-3;-5705
33;-372;3;4523;-475;-3;-5705
34;-377;2;4519;-475;-3;-5705
35;-376;-3;4530;-475;-3;-5705
36;-379;-4;4531;-475;-3;-5705
37;-380;0;4530;-475;-3;-5705
38;-376;0;4521;-475;-3;-5705
39;-380;-4;4522;-475;-3;-5705
40;-370;-3;4514;-476;-3;-5706
41;-374;-1;4524;-476;-3;-5705
42;-374;1;4522;-476;-3;-5705
43;-371;-3;4522;-475;-2;-5705
44;-375;-9;4506;-477;-2;-5705
45;-372;3;4500;-478;0;-5705
46;-376;-9;4514;-477;-1;-5706
47;-373;0;4513;-476;-1;-5706
48;-370;-4;4509;-477;0;-5706
49;-376;-3;4502;-476;0;-5706
50;-367;0;4510;-476;0;-5706
51;-371;1;4507;-474;0;-5706
52;-382;-7;4508;-476;1;-5705
53;-382;-1;4513;-477;2;-5705
54;-377;-10;4499;-477;2;-5705
55;-371;0;4503;-477;1;-5706
56;-388;-9;4509;-477;2;-5705
57;-376;-8;4515;-476;3;-5705
58;-372;-3;4515;-476;3;-5706
59;-373;-7;4514;-476;2;-5706
60;-372;-4;4521;-476;2;-5706
61;-388;-3;4518;-476;2;-5706
62;-371;0;4506;-475;3;-5706
63;-371;-3;4505;-475;3;-5706
64;-376;-8;4512;-477;3;-5707
65;-376;-1;4509;-477;3;-5707
66;-379;0;4513;-478;4;-5707
67;-372;-3;4510;-478;4;-5707
68;-372;-8;4513;-477;4;-5707
69;-381;-7;4518;-476;4;-5707
70;-379;-13;4502;-476;4;-5707
71;-381;-5;4510;-477;4;-5707
72;-375;-1;4514;-476;4;-5707
73;-376;0;4527;-477;3;-5707
74;-378;-8;4515;-477;2;-5707
75;-369;3;4518;-476;2;-5707
76;-380;-8;4511;-476;1;-5707
77;-379;-5;4522;-476;0;-5707
78;-371;3;4507;-475;0;-5707
79;-379;0;4518;-476;-1;-5708
80;-370;-2;4517;-476;-1;-5708
